field,value
schema,SOLTRADE_PHASE6_V23_RUN_SUMMARY_V1
execution_instance_id,V23-036-2026_P1-STRESS-DELAY200
segment_id,2026_P1
dataset,DEVELOPMENT
cost_profile,STRESS
execution_layer,FIXED_DELAY_200_MS
expected_execution_mode,200
reset_at,2026.01.02 00:00:00
eligible_from,2026.01.16 00:00:00
eligible_to,2026.04.09 00:00:00
first_evaluation,2026.01.20 11:00:00
final_evaluation,2026.04.08 22:00:00
indicator_eligible_h1_openings,1357
exclusive_boundary_unobservable_final_h1,1
expected_processable_completed_h1,1356
evaluations,1356
setups,41
confirmations,19
expired_setups,13
entry_fills,17
exit_fills,17
spread_blocks,2
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,2
donchian_exits,15
retest_1,9
retest_2,5
retest_3,2
retest_4,1
retest_5,0
retest_6,2
censored_position,NO
max_tick,2026.04.08 23:59:58
max_completed_h1,2026.04.08 22:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
