field,value
schema,SOLTRADE_PHASE6_V23_RUN_SUMMARY_V1
execution_instance_id,V23-026-2025_S2-HIGH-DELAY200
segment_id,2025_S2
dataset,DEVELOPMENT
cost_profile,HIGH
execution_layer,FIXED_DELAY_200_MS
expected_execution_mode,200
reset_at,2025.02.17 09:00:00
eligible_from,2025.02.17 09:00:00
eligible_to,2025.03.07 23:00:00
first_evaluation,2025.03.05 20:00:00
final_evaluation,2025.03.07 21:00:00
indicator_eligible_h1_openings,51
exclusive_boundary_unobservable_final_h1,1
expected_processable_completed_h1,50
evaluations,50
setups,1
confirmations,1
expired_setups,0
entry_fills,1
exit_fills,0
spread_blocks,0
execution_blocks,0
risk_engine_blocks,0
daily_limit_pauses,0
weekly_limit_pauses,0
emergency_stops,0
consecutive_loss_pauses,0
stop_loss_exits,0
donchian_exits,0
retest_1,1
retest_2,0
retest_3,0
retest_4,0
retest_5,0
retest_6,0
censored_position,YES
max_tick,2025.03.07 22:59:59
max_completed_h1,2025.03.07 21:00:00
seal_breach,NO
native_tester_commission_inspection,DEALS_LEDGER_REQUIRED
run_evidence_status,PASS
